weight logl H0 sigma epsilon tau
2.676822372778304701e-23 -4.523612602849797213e+02 1.307887795290127997e-01 3.890325573732189568e-01 5.227875428717119188e-01 7.355268097128383475e-01
5.642901373530173114e-23 -4.516129923330584006e+02 6.170823942173842003e-01 7.824026970407649273e-02 8.594245349790068378e-01 2.626485293761007256e-01
7.345990167627290749e-23 -4.513467360852961860e+02 5.307332371394567483e-01 3.683825644079752326e-02 7.387434355842146250e-01 7.908066899453762844e-01
7.691882399267962190e-23 -4.512982251553236210e+02 4.334947513655775797e-01 1.347022509203210650e-02 5.019799086121525811e-01 6.925325591756527066e-01
7.909835838971103005e-23 -4.512677836662690538e+02 2.729128388004942174e-02 8.049083709930802133e-01 6.415726711489443401e-01 2.546116038440013885e-01
1.005385235287538544e-22 -4.510254348144752612e+02 7.444635050362208295e-01 4.056290657680808875e-01 5.630184847457972985e-01 1.353916631737039911e-01
1.610369624544601504e-22 -4.505518418681231765e+02 6.673199997918262127e-01 9.368393476440040057e-02 9.607041880360691621e-01 2.381671418315246536e-01
1.670674503758531612e-22 -4.505125781618810379e+02 9.613862004698251473e-01 8.036009435075803786e-01 7.025305980328637734e-01 5.828762182558284710e-01
3.199018516002065894e-22 -4.498604615522224321e+02 8.435730364939896253e-01 5.695838205337615534e-01 9.565687645624576518e-02 7.672827459553740459e-01
3.732825234597352200e-22 -4.497036402187374051e+02 6.089811961183766442e-02 7.485885116959071217e-01 6.285732819921167058e-01 2.211368923732843772e-01
4.218714468908126668e-22 -4.495787751478139853e+02 8.592395025916612639e-01 5.428182232951185293e-01 9.557935717205915394e-01 6.620849797741044096e-01
5.351786318907768881e-22 -4.493383752046692621e+02 1.412070586585264520e-01 5.009030885901398777e-01 7.357314665508696283e-02 6.037885872076745875e-01
6.727818222471266065e-22 -4.491070546969899624e+02 9.378703301018204153e-01 8.545932470728689889e-01 9.624717319035962504e-01 7.658395302675822247e-01
6.727105859863773093e-22 -4.491046605857491727e+02 8.414147800059534887e-01 5.527491533542886470e-01 5.136612384158856237e-01 7.338038883018687120e-01
